"","long","lat","comclust","temperature","NO3","salinity","dataset"
"127",46.9706,-13.0781,4,28.910533,0.244232,34.932975,"V9-micro"
"128",-95.0153,6.48,4,26.248692,3.618212,33.184517,"V9-micro"
"129",45.2248,-12.807,4,NA,NA,NA,"V9-micro"
"130",-135.018,-23.1571,5,23.790517,0,36.47365,"V9-micro"
"131",42.2853,-17.3066,5,25.340336,0.820273,35.163979,"V9-micro"
"132",-56.0916,-63.8768,5,-0.249275,NA,34.200608,"V9-micro"
"133",-29.003,36.1736,5,16.899785,0.318508,36.212955,"V9-micro"
"134",54.3066,-21.4689,1,24.866483,0.244232,34.945892,"V9-micro"
"135",-56.0916,-63.8768,5,-0.249275,NA,34.200608,"V9-micro"
"136",-73.1066,-34.0614,5,18.014508,0,34.295417,"V9-micro"
"137",-65.1342,-54.3739,5,7.3549,11.003731,32.945667,"V9-micro"
"138",-73.0537,-33.9116,5,16.40115,0.660123,34.267975,"V9-micro"
"139",-73.0537,-33.9116,5,16.40115,0.660123,34.267975,"V9-micro"
"140",-73.1066,-34.0614,5,18.014508,0,34.295417,"V9-micro"
"141",-52.1505,-44.6241,5,13.491175,3.147093,34.694317,"V9-micro"
"142",-16.4987,44.0722,1,NA,NA,NA,"V9-micro"
"143",-52.1505,-44.6241,5,13.491175,3.147093,34.694317,"V9-micro"
"144",18.03,-34.8986,5,15.022117,NA,NA,"V9-micro"
"145",-84.5652,2.0218,4,27.61049,1.072909,33.46018,"V9-micro"
"146",70.0096,14.5644,2,25.48675,10.372569,36.27325,"V9-micro"
"147",-58.2349,-47.1966,5,7.321517,17.091069,34.048642,"V9-micro"
"148",66.522,18.5667,2,26.81765,0,36.285367,"V9-micro"
"149",-57.9446,-47.2007,5,6.975635,17.111823,34.057594,"V9-micro"
"150",-43.2834,-30.1872,1,19.854083,0,36.32425,"V9-micro"
"151",-43.2641,-30.1403,3,19.33485,0,36.282975,"V9-micro"
"152",37.9926,-29.4985,2,22.222092,0,35.3215,"V9-micro"
"153",-35.2273,-20.9514,1,23.349542,0.030608,37.101367,"V9-micro"
"154",71.6311,0.0023,4,30.496383,2.575786,35.091133,"V9-micro"
"155",-35.3964,-21.0716,3,22.383088,0.642162,36.91025,"V9-micro"
"156",14.2765,35.7528,1,NA,NA,NA,"V9-micro"
"157",-49.2382,-62.2024,5,-0.783906,30.42205,34.400828,"V9-micro"
"158",73.8949,6.0019,2,29.980283,0,34.56155,"V9-micro"
"159",1.946,37.0112,1,17.172933,NA,37.102133,"V9-micro"
"160",-111.733,-25.8105,3,25.14875,0,36.402683,"V9-micro"
"161",26.3022,-35.2351,2,21.815767,NA,NA,"V9-micro"
"162",63.5128,20.8116,4,25.268343,0.387014,36.545436,"V9-micro"
"163",14.3083,35.7444,1,NA,NA,NA,"V9-micro"
"164",66.4895,18.5745,2,26.897,0,36.2986,"V9-micro"
"165",-100.659,-16.9581,4,22.76873,2.568726,35.97144,"V9-micro"
"166",39.865,18.4183,1,27.539945,0,38.874264,"V9-micro"
"167",64.5256,19.0235,4,25.487707,1.282982,NA,"V9-micro"
"168",66.4895,18.5745,2,26.897,0,36.2986,"V9-micro"
"169",32.8532,33.9189,1,17.8897,0,39.2128,"V9-micro"
"170",17.7175,42.1735,1,17.007383,NA,38.215158,"V9-micro"
"171",-60.5715,-60.3046,5,1.84402,24.423039,33.71972,"V9-micro"
"172",17.6991,-32.1745,5,12.881967,0.517466,34.849892,"V9-micro"
"173",73.8978,5.9994,1,27.50415,0.788282,35.2057,"V9-micro"
"174",39.8767,18.3967,1,27.59865,0,38.646858,"V9-micro"
