"","CAP1","CAP2","station","comclust","dataset"
"36",3.1264625396843,0.416272064734847,"ERR1879775",3,"V9-total"
"37",-0.131723512060102,1.43008731273664,"ERR1879776",3,"V9-total"
"38",-0.465824411543263,0.568784313980155,"ERR1879779",4,"V9-total"
"39",-0.170497492893081,-1.55049664777011,"ERR1879780",1,"V9-total"
"40",0.13082552558081,0.200805796920337,"ERR1879781",4,"V9-total"
"41",-0.756805601542123,0.725886513084562,"ERR1879787",5,"V9-total"
"42",0.0184482390899546,-1.81195507120298,"ERR1879789",2,"V9-total"
"43",0.380007787100799,-0.960221103755274,"ERR1879792",1,"V9-total"
"44",-0.332735064566021,-0.140354080069863,"ERR1879793",5,"V9-total"
"45",0.543794679762611,-0.494320727037967,"ERR1879801",1,"V9-total"
"46",0.670314793186738,-0.31126903718145,"ERR1879804",1,"V9-total"
"47",-0.549410358807482,0.977934866911327,"ERR1879808",5,"V9-total"
"48",-0.246889500889311,-0.851345411187648,"ERR1879810",5,"V9-total"
"49",-0.547185781895641,-0.781646665062657,"ERR1879814",1,"V9-total"
"50",-0.828469913262721,0.526833903892537,"ERR1879818",4,"V9-total"
"51",0.0937743723788906,-1.89208145658959,"ERR1879820",2,"V9-total"
"52",-0.29504806731432,-2.09449500824284,"ERR1879821",2,"V9-total"
"53",-0.201407894891958,1.09302440922237,"ERR1879823",3,"V9-total"
"54",2.19507265200947,0.719864253196309,"ERR1879824",3,"V9-total"
"55",-0.148698639865609,-1.33368973914833,"ERR1879827",1,"V9-total"
"56",-0.666004951232826,1.11660222928426,"ERR1879829",4,"V9-total"
"57",-0.0200597889912306,-0.541312054150941,"ERR1879832",4,"V9-total"
"58",-0.139579507383743,0.221800831052964,"ERR1879834",4,"V9-total"
"59",-0.829578159683127,0.405584788941435,"ERR1879837",4,"V9-total"
"60",-0.0702598510329872,-1.24113786155934,"ERR1879840",1,"V9-total"
"61",-0.663574342167151,0.714687130173337,"ERR1879841",4,"V9-total"
"62",0.102917097923302,0.0966371895089824,"ERR1879843",1,"V9-total"
"63",-0.788257363777543,1.31443347704611,"ERR1879852",5,"V9-total"
"64",-0.792238692302736,0.0689473591701605,"ERR1879856",4,"V9-total"
"65",-0.409474923311952,-0.709423371033676,"ERR1879862",5,"V9-total"
"66",0.0253821792447158,0.0627888894915178,"ERR1879863",1,"V9-total"
"67",0.105206469135853,0.687544930785498,"ERR1879864",3,"V9-total"
"68",-0.427599108569678,-0.563571284131439,"ERR1879867",4,"V9-total"
"69",-0.233980167989052,-0.567353830965301,"ERR1879872",4,"V9-total"
"70",0.344757665892623,-0.439721427796586,"ERR1879873",1,"V9-total"
"71",-0.381826106400611,1.17995914179803,"ERR1879874",3,"V9-total"
"72",0.502665678589723,-0.478755411856849,"ERR1879875",1,"V9-total"
"73",-0.531949085125784,-0.626446841047817,"ERR1879877",4,"V9-total"
"74",-0.798172705251445,0.0386613518356847,"ERR1879878",4,"V9-total"
"75",-0.342098780164669,0.757792768573179,"ERR1879888",5,"V9-total"
"76",-0.110061458960355,-0.702778472567728,"ERR1879889",4,"V9-total"
"77",-0.633770827252294,1.24445577724671,"ERR1879894",4,"V9-total"
"78",0.0858540534249689,0.905797635449801,"ERR1879895",3,"V9-total"
"79",-0.274182023254612,1.49422651897498,"ERR1879896",3,"V9-total"
"80",-0.615041511411428,-0.742819626714567,"ERR1879897",5,"V9-total"
"81",-0.0176734268778544,1.11443004117523,"ERR1879898",3,"V9-total"
"82",-0.504584036700369,-0.564710220364725,"ERR1879899",1,"V9-total"
"83",-0.0733284906289073,-1.76668141063744,"ERR1879902",2,"V9-total"
"84",-0.337171690804958,0.668667063723384,"ERR1879905",4,"V9-total"
"85",-0.596789208373995,0.424272825650801,"ERR1879909",3,"V9-total"
"86",-0.15302615587822,-0.86987492097741,"ERR1879910",1,"V9-total"
"87",-0.444826102432975,0.592197937391082,"ERR1879912",4,"V9-total"
"88",-0.183654335416849,0.0962852494986035,"ERR1879914",3,"V9-total"
"89",-0.660869828645823,0.695941882631452,"ERR1879915",4,"V9-total"
"90",-0.624990810266522,0.482834022434898,"ERR1879917",4,"V9-total"
"91",0.103751509804438,0.697950795782055,"ERR1879922",3,"V9-total"
"92",-0.0161728256208648,-1.46756533464862,"ERR1879927",1,"V9-total"
"93",0.477828643601188,1.02717879159182,"ERR1879928",3,"V9-total"
"94",-0.284711618566845,0.511882404825054,"ERR1879929",4,"V9-total"
"95",0.0376853022551617,-0.285495551793381,"ERR1879940",1,"V9-total"
"96",3.07057427622328,0.388412670059861,"ERR1879942",3,"V9-total"
"97",-0.268139153989735,-0.559577889753397,"ERR1879944",1,"V9-total"
"98",2.14687015840243,0.713758585853071,"ERR1879945",3,"V9-total"
"99",0.395488899150801,-0.283336351012408,"ERR1879948",1,"V9-total"
"100",-0.421667327218097,-0.97614983894851,"ERR562380",5,"V9-total"
"101",-0.590608669973111,-0.712676967680372,"ERR562392",5,"V9-total"
"102",3.00019899932987,0.663353910352654,"ERR562404",3,"V9-total"
"103",2.53945973301839,0.767422537954571,"ERR562426",3,"V9-total"
